id	old_name	new_name
765	Pickleball Courts	East Port Park Pickleball Courts
1033	Pickleball Courts	Army Navy Sports Complex Pickleball Courts
954	Pickleball Courts	Vellano Park Pickleball Courts
1053	Pickleball Courts	Coronado Cays Park Pickleball Courts
583	Pickleball Court 1	Del Mesa Park Pickleball Court 1
584	Pickleball Court 1	Mesa Verde Country Club Pickleball Court 1
585	Pickleball Court 7	Mesa Verde Country Club Pickleball Court 7
586	Pickleball Court 8	Mesa Verde Country Club Pickleball Court 8
597	Pickleball Court	Louise Leydon Park Pickleball Courts
377	Pickleball Courts	Humboldt Park Pickleball Courts
809	Pickleball Courts	Desert Horizons Golf and Country Club Pickleball Courts
1087	Pickleball Courts	Highwood Park Pickleball Courts
831	Pickleball Courts	Tradition Golf Club Pickleball Courts
654	Pickleball Court	Laguna Niguel Skate & Soccer Park Pickleball Courts
655	Pickleball Court 1	Kite Hill Recreation Center Pickleball Court 1
1094	Pickleball Courts	Palmer Way Elementary School Pickleball Courts
906	Pickleball Courts	Rancho Las Palmas Country Club Pickleball Courts
997	Pickleball Courts	Citrus Trails Community Park Pickleball Courts
1003	Pickleball court	Rialto City Park Pickleball Courts
1006	Pickleball Courts	Perris Hill Park Pickleball Courts
698	Pickleball Court	Tierra Grande Park Pickleball Courts
699	Pickleball Court	Shorecliffs Golf Club Pickleball Courts
701	Pickleball Court 1	Talega Swim & Athletic Club Pickleball Court 1
708	Pickleball Court	Mission Bell Park Pickleball Courts
711	Pickleball Court 1	Cook La Novia Park Pickleball Court 1
713	Pickleball Court 2	Cook La Novia Park Pickleball Court 2
723	Pickleball Court	J.H. McGaugh Elementary School Pickleball Courts
