id	old	new
709	Pickleball Court 1	Marbella Country Club Pickleball Court 1
714	Pickleball Court 2	Marbella Country Club Pickleball Court 2
885	Pickleball Courts	Palm Desert Greens Clubhouse Pickleball Courts
697	Pickleball Court	Calle La Quinta Pickleball Court
700	Pickleball Court	Calle Avanzado Pickleball Court
710	Pickleball Court 1	Outpost Road Pickleball Court 1
712	Pickleball Court 2	Outpost Road Pickleball Court 2
715	Pickleball Court 3	Silver Creek Pickleball Court 3
716	Pickleball Courts	Silver Creek Pickleball Courts
884	Pickleball Courts	Avenida del Sol Pickleball Courts
905	Pickle Ball Courts	Wimbledon Drive Pickleball Courts
909	pickle ball courts	Forest Hills Pickleball Courts
1160	Pickleball Courts	Avenida Simi Pickleball Courts
