id	old_name	new_name
767	Pickleball Courts	Desert Princess Country Club Golf Resort Pickleball Courts
772	Pickleball Courts	The Club at PGA WEST Pickleball Courts
598	Pickleball Court 1	Dana Hills High School Pickleball Court 1
601	Pickleball Court 2	Dana Hills High School Pickleball Court 2
615	Pickleball Courts	Fullerton Sports Complex Pickleball Courts
630	Pickleball Courts	Tarbox Park Pickleball Courts
638	Pickleball Court 1	Reata Park and Event Center Pickleball Court 1
639	Pickleball Court 2	Reata Park and Event Center Pickleball Court 2
640	Pickleball Court 3	Reata Park and Event Center Pickleball Court 3
702	Pickleball Court 1	Shorecliffs Beach Club Pickleball Court 1
921	Pickleball Courts	Temecula Valley High School Pickleball Courts
