id	old_name	new_name
810	Pickleball courts	The Reserve Club Pickleball Courts
830	Pickleball Courts	Santa Rosa Club Pickleball Courts
656	Pickleball Court 4	Aliso Peak Trail Pickleball Court 4
1095	Pickleball Courts	El Toyon School Pickleball Courts
1096	Pickleball Courts	Lincoln Acres School Pickleball Courts
1098	Pickleball Courts	BVAS Wetlands Reserve Pickleball Courts
1102	Pickleball Courts	My Room To Grow Preschool Pickleball Courts
1117	Pickleball Courts	Westwood Club Preschool Pickleball Courts
724	Pickleball Courts	Los Cerritos Wetlands Pickleball Courts
1122	Pickleball court	Fusion Academy Solana Beach Pickleball Courts
