id	old	new
773	Pickleball courts	Fritz Burns Park Pickleball Courts
1055	Pickleball court	Little Italy Pickleball Court
599	Pickleball Court 1	Niguel Shores Pickleball Court 1
600	Pickleball Court 2	Niguel Shores Pickleball Court 2
602	Pickleball Court 4	Niguel Shores Pickleball Court 4
607	Pickleball	Win Win Pickleball
808	Pickleball Court	Sports Complex Pickleball Courts
820	PickleBall Courts	City of Palm Desert Freedom Park Pickleball Courts
832	Pickleball courts	Fritz Burns Park Pickleball Courts
648	Pickleball Courts	Nellie Gail Ranch Pickleball Courts
984	Pickleball Courts	Citrus Trails Community Park Pickleball Courts
671	Pickleball courts	Vista Del Lago Apartments Pickleball
