id	old_name	new_name	address	city	source
765	Pickleball Courts	East Port Park Pickleball Courts	24331 Canyon Lake Dr N, Canyon Lake, CA 92587, USA	Canyon Lake	park,tourist_attraction
1033	Pickleball Courts	Army Navy Sports Complex Pickleball Courts	2745 Carlsbad Blvd, Carlsbad, CA 92008, USA	Carlsbad	point_of_interest,establishment
767	Pickleball Courts		Cathedral City, CA 92234, USA	Cathedral City	NO CONFIDENT VENUE
954	Pickleball Courts	Vellano Park Pickleball Courts	16321 Aviano Ln, Chino Hills, CA 91709, USA	Chino Hills	park,tourist_attraction
772	Pickleball Courts		La Quinta, CA 92253, USA	Coachella	NO CONFIDENT VENUE
773	Pickleball courts		La Quinta, CA 92253, USA	Coachella	NO CONFIDENT VENUE
1053	Pickleball Courts	Coronado Cays Park Pickleball Courts	16 Bahama Bend, Coronado, CA 92118, USA	Coronado	park,tourist_attraction
1055	Pickleball court		1525 1st St Apt T111, Coronado, CA 92118, USA	Coronado	NO CONFIDENT VENUE
583	Pickleball Court 1	Del Mesa Park Pickleball Court 1	550 Paularino Ave, Costa Mesa, CA 92626, USA	Costa Mesa	park,point_of_interest
584	Pickleball Court 1	Mesa Verde Country Club Pickleball Court 1	3064 Java Rd, Costa Mesa, CA 92626, USA	Costa Mesa	point_of_interest,establishment
585	Pickleball Court 7	Mesa Verde Country Club Pickleball Court 7	3100 Clubhouse Rd, Costa Mesa, CA 92626, USA	Costa Mesa	point_of_interest,establishment
586	Pickleball Court 8	Mesa Verde Country Club Pickleball Court 8	3100 Clubhouse Rd, Costa Mesa, CA 92626, USA	Costa Mesa	point_of_interest,establishment
597	Pickleball Court	Louise Leydon Park Pickleball Courts	35480 Pacific, Dana Point, CA 92624, USA	Dana Point	park,point_of_interest
598	Pickleball Court 1		33601 Via Corvalian, Dana Point, CA 92629, USA	Dana Point	NO CONFIDENT VENUE
599	Pickleball Court 1		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	NO CONFIDENT VENUE
600	Pickleball Court 2		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	NO CONFIDENT VENUE
601	Pickleball Court 2		F7GV+4R, Dana Point, CA 92629, USA	Dana Point	NO CONFIDENT VENUE
602	Pickleball Court 4		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	NO CONFIDENT VENUE
615	Pickleball Courts		Fullerton, CA 92835, USA	Fullerton	NO CONFIDENT VENUE
630	Pickleball Courts		3621 Courtside Cir, Huntington Beach, CA 92649, USA	Huntington Beach	NO CONFIDENT VENUE
377	Pickleball Courts	Humboldt Park Pickleball Courts	Huntington Beach, CA 92649, USA	Huntington Park	tourist_attraction,park
808	Pickleball Court	Sports Complex Pickleball Courts	Indian Wells, CA 92210, USA	Indian Wells	point_of_interest,establishment
809	Pickleball Courts	Desert Horizons Golf and Country Club Pickleball Courts	44900 Desert Horizons Dr, Indian Wells, CA 92210, USA	Indian Wells	point_of_interest,establishment
810	Pickleball courts	The Reserve Club Pickleball Courts	Indian Wells, CA 92210, USA	Indian Wells	point_of_interest,establishment
820	PickleBall Courts		Palm Desert, CA 92211, USA	Indio	NO CONFIDENT VENUE
1087	Pickleball Courts	Highwood Park Pickleball Courts	La Mesa, CA 91941, USA	La Mesa	park,point_of_interest
830	Pickleball Courts	Santa Rosa Club Pickleball Courts	La Quinta, CA 92253, USA	La Quinta	point_of_interest,establishment
831	Pickleball Courts	Tradition Golf Club Pickleball Courts	La Quinta, CA 92253, USA	La Quinta	point_of_interest,establishment
832	Pickleball courts		La Quinta, CA 92253, USA	La Quinta	NO CONFIDENT VENUE
638	Pickleball Court 1		2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	NO CONFIDENT VENUE
639	Pickleball Court 2		2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	NO CONFIDENT VENUE
640	Pickleball Court 3		2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	NO CONFIDENT VENUE
648	Pickleball Courts		Laguna Hills, CA 92653, USA	Laguna Hills	NO CONFIDENT VENUE
654	Pickleball Court	Laguna Niguel Skate & Soccer Park Pickleball Courts	Laguna Niguel, CA 92677, USA	Laguna Niguel	point_of_interest,establishment
655	Pickleball Court 1	Kite Hill Recreation Center Pickleball Court 1	Alicia-Highlands, Laguna Niguel, CA 92677, USA	Laguna Niguel	park,point_of_interest
656	Pickleball Court 4	Aliso Peak Trail Pickleball Court 4	22765 Mariano Dr, Laguna Niguel, CA 92677, USA	Laguna Niguel	park,point_of_interest
