id	old_name	new_name	address	city	source
767	Pickleball Courts	Desert Princess Country Club Golf Resort Pickleball Courts	Cathedral City, CA 92234, USA	Cathedral City	nearby@500m
772	Pickleball Courts	The Club at PGA WEST Pickleball Courts	La Quinta, CA 92253, USA	Coachella	nearby@500m
773	Pickleball courts		La Quinta, CA 92253, USA	Coachella	STILL UNRESOLVED
1055	Pickleball court		1525 1st St Apt T111, Coronado, CA 92118, USA	Coronado	STILL UNRESOLVED
598	Pickleball Court 1	Dana Hills High School Pickleball Court 1	33601 Via Corvalian, Dana Point, CA 92629, USA	Dana Point	nearby@600m
599	Pickleball Court 1		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	STILL UNRESOLVED
600	Pickleball Court 2		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	STILL UNRESOLVED
601	Pickleball Court 2	Dana Hills High School Pickleball Court 2	F7GV+4R, Dana Point, CA 92629, USA	Dana Point	nearby@600m
602	Pickleball Court 4		33654 Niguel Rd, Dana Point, CA 92629, USA	Dana Point	STILL UNRESOLVED
615	Pickleball Courts	Fullerton Sports Complex Pickleball Courts	Fullerton, CA 92835, USA	Fullerton	nearby@500m
630	Pickleball Courts	Tarbox Park Pickleball Courts	3621 Courtside Cir, Huntington Beach, CA 92649, USA	Huntington Beach	nearby@500m
808	Pickleball Court	Sports Complex Pickleball Courts	Indian Wells, CA 92210, USA	Indian Wells	nearby@500m
820	PickleBall Courts		Palm Desert, CA 92211, USA	Indio	STILL UNRESOLVED
832	Pickleball courts	Desert Sands Unified School District Pickleball Courts	La Quinta, CA 92253, USA	La Quinta	nearby@600m
638	Pickleball Court 1	Reata Park and Event Center Pickleball Court 1	2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	nearby@500m
639	Pickleball Court 2	Reata Park and Event Center Pickleball Court 2	2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	nearby@500m
640	Pickleball Court 3	Reata Park and Event Center Pickleball Court 3	2 Las Estrellas Loop, Ladera Ranch, CA 92694, USA	Ladera Ranch	nearby@500m
648	Pickleball Courts		Laguna Hills, CA 92653, USA	Laguna Hills	STILL UNRESOLVED
984	Pickleball Courts		B, 25040 Stewart St, Loma Linda, CA 92354, USA	Loma Linda	STILL UNRESOLVED
671	Pickleball courts	USA High Jump Club Pickleball Courts	21622 Marguerite Pkwy, Mission Viejo, CA 92692, USA	Mission Viejo	nearby@500m
884	Pickleball Courts	Sports Complex Pickleball Courts	Palm Desert, CA 92260, USA	Palm Desert	nearby@500m
885	Pickleball Courts		Palm Desert, CA 92260, USA	Palm Desert	STILL UNRESOLVED
886	Pickleball Courts	Sports Complex Pickleball Courts	Palm Desert, CA 92260, USA	Palm Desert	nearby@500m
697	Pickleball Court		3536 Calle La Quinta, San Clemente, CA 92673, USA	San Clemente	STILL UNRESOLVED
700	Pickleball Court		1327 Calle Avanzado, San Clemente, CA 92673, USA	San Clemente	STILL UNRESOLVED
702	Pickleball Court 1	Shorecliffs Beach Club Pickleball Court 1	9 Storage Lot, San Clemente, CA 92672, USA	San Clemente	nearby@600m
709	Pickleball Court 1		10 Plaza Baja Del Sol, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
710	Pickleball Court 1		30201 Outpost Rd, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
712	Pickleball Court 2		30201 Outpost Rd, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
714	Pickleball Court 2		58 Plaza Brisas, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
715	Pickleball Court 3		27591 Silver Creek Dr, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
716	Pickleball Courts		27591 Silver Creek Dr, San Juan Capistrano, CA 92675, USA	San Juan Capistrano	STILL UNRESOLVED
1160	Pickleball Courts	Katerina's Piano Lessons Pickleball Courts	3700 Avenida Simi, Simi Valley, CA 93063, USA	Simi Valley	nearby@500m
921	Pickleball Courts	Temecula Valley High School Pickleball Courts	FVXJ+8R, Temecula, CA 92592, USA	Temecula	nearby@500m
